iter	Passed	Remaining
600	5917	3928
601	5926	3917
602	5935	3907
603	5944	3897
604	5953	3886
605	5961	3876
606	5972	3866
607	5981	3856
608	5991	3846
609	6001	3837
610	6010	3826
611	6019	3816
612	6027	3805
613	6036	3794
614	6045	3784
615	6056	3775
616	6066	3766
617	6076	3756
618	6086	3746
619	6095	3736
620	6104	3725
621	6113	3715
622	6122	3704
623	6131	3694
624	6141	3684
625	6149	3674
626	6158	3663
627	6167	3653
628	6176	3643
629	6185	3632
630	6195	3622
631	6207	3614
632	6216	3603
633	6224	3593
634	6234	3583
635	6244	3573
636	6253	3563
637	6261	3552
638	6270	3542
639	6279	3532
640	6289	3522
641	6298	3512
642	6307	3501
643	6316	3491
644	6325	3481
645	6333	3470
646	6345	3461
647	6354	3451
648	6363	3441
649	6374	3432
650	6382	3421
651	6391	3411
652	6401	3401
653	6410	3391
654	6419	3381
655	6430	3372
656	6441	3363
657	6452	3353
658	6462	3343
659	6470	3333
660	6480	3323
661	6490	3314
662	6500	3304
663	6509	3294
664	6518	3283
665	6528	3273
666	6536	3263
667	6545	3253
668	6554	3242
669	6563	3232
670	6573	3222
671	6582	3212
672	6590	3202
673	6599	3192
674	6610	3182
675	6621	3173
676	6631	3163
677	6641	3154
678	6650	3143
679	6659	3133
680	6669	3124
681	6678	3114
682	6688	3104
683	6697	3093
684	6706	3083
685	6716	3074
686	6726	3064
687	6736	3054
688	6744	3044
689	6754	3034
690	6763	3024
691	6773	3014
692	6783	3005
693	6792	2995
694	6802	2985
695	6810	2974
696	6820	2964
697	6830	2955
698	6840	2945
699	6849	2935
700	6859	2925
701	6868	2915
702	6877	2905
703	6886	2895
704	6895	2885
705	6904	2875
706	6913	2864
707	6923	2855
708	6932	2845
709	6941	2835
710	6950	2825
711	6960	2815
712	6969	2805
713	6978	2795
714	6989	2785
715	6998	2775
716	7006	2765
717	7016	2755
718	7026	2746
719	7036	2736
720	7045	2726
721	7054	2716
722	7065	2706
723	7074	2696
724	7083	2686
725	7092	2676
726	7101	2666
727	7111	2656
728	7120	2647
729	7130	2637
730	7140	2627
731	7149	2617
732	7158	2607
733	7169	2598
734	7178	2588
735	7189	2578
736	7199	2569
737	7209	2559
738	7219	2549
739	7229	2540
740	7237	2529
741	7247	2519
742	7256	2509
743	7265	2500
744	7275	2490
745	7285	2480
746	7295	2470
747	7304	2460
748	7313	2450
749	7323	2441
750	7333	2431
751	7341	2421
752	7351	2411
753	7360	2401
754	7370	2391
755	7379	2381
756	7388	2371
757	7397	2361
758	7405	2351
759	7415	2341
760	7424	2331
761	7436	2322
762	7447	2313
763	7457	2303
764	7468	2294
765	7477	2284
766	7486	2274
767	7496	2264
768	7505	2254
769	7513	2244
770	7523	2234
771	7532	2224
772	7541	2214
773	7551	2204
774	7559	2194
775	7568	2184
776	7578	2174
777	7587	2165
778	7595	2154
779	7605	2145
780	7614	2135
781	7623	2125
782	7635	2116
783	7644	2106
784	7653	2096
785	7662	2086
786	7671	2076
787	7680	2066
788	7689	2056
789	7698	2046
790	7707	2036
791	7716	2026
792	7725	2016
793	7736	2007
794	7747	1997
795	7756	1987
796	7765	1977
797	7774	1967
798	7783	1958
799	7792	1948
800	7801	1938
801	7810	1928
802	7819	1918
803	7828	1908
804	7838	1898
805	7849	1889
806	7858	1879
807	7868	1869
808	7878	1860
809	7888	1850
810	7898	1840
811	7907	1830
812	7917	1821
813	7927	1811
814	7937	1801
815	7946	1791
816	7956	1782
817	7965	1772
818	7976	1762
819	7986	1753
820	7995	1743
821	8005	1733
822	8015	1723
823	8024	1714
824	8034	1704
825	8044	1694
826	8054	1685
827	8065	1675
828	8075	1665
829	8085	1655
830	8095	1646
831	8106	1636
832	8115	1627
833	8126	1617
834	8135	1607
835	8145	1597
836	8155	1588
837	8166	1578
838	8177	1569
839	8188	1559
840	8198	1550
841	8208	1540
842	8217	1530
843	8229	1521
844	8239	1511
845	8251	1501
846	8262	1492
847	8274	1483
848	8289	1474
849	8299	1464
850	8309	1454
851	8321	1445
852	8335	1436
853	8344	1426
854	8355	1417
855	8368	1407
856	8378	1398
857	8389	1388
858	8399	1378
859	8408	1368
860	8417	1358
861	8426	1348
862	8437	1339
863	8447	1329
864	8456	1319
865	8466	1310
866	8477	1300
867	8487	1290
868	8497	1281
869	8506	1271
870	8515	1261
871	8525	1251
872	8535	1241
873	8544	1231
874	8553	1221
875	8562	1211
876	8571	1202
877	8580	1192
878	8589	1182
879	8599	1172
880	8609	1162
881	8619	1153
882	8628	1143
883	8637	1133
884	8647	1123
885	8655	1113
886	8664	1103
887	8673	1093
888	8681	1084
889	8690	1074
890	8698	1064
891	8708	1054
892	8718	1044
893	8727	1034
894	8736	1024
895	8745	1015
896	8753	1005
897	8764	995
898	8772	985
899	8780	975
900	8789	965
901	8799	956
902	8808	946
903	8817	936
904	8826	926
905	8835	916
906	8844	906
907	8853	897
908	8861	887
909	8870	877
910	8879	867
911	8888	857
912	8899	847
913	8908	838
914	8917	828
915	8927	818
916	8935	808
917	8944	798
918	8953	789
919	8962	779
920	8972	769
921	8981	759
922	8991	750
923	9000	740
924	9009	730
925	9018	720
926	9027	710
927	9038	701
928	9047	691
929	9058	681
930	9067	672
931	9076	662
932	9085	652
933	9094	642
934	9103	632
935	9113	623
936	9122	613
937	9131	603
938	9141	593
939	9150	584
940	9159	574
941	9168	564
942	9177	554
943	9186	544
944	9195	535
945	9205	525
946	9216	515
947	9225	506
948	9233	496
949	9242	486
950	9253	476
951	9262	467
952	9272	457
953	9281	447
954	9290	437
955	9302	428
956	9312	418
957	9322	408
958	9332	398
959	9342	389
960	9352	379
961	9363	369
962	9373	360
963	9382	350
964	9392	340
965	9402	330
966	9412	321
967	9423	311
968	9434	301
969	9444	292
970	9452	282
971	9461	272
972	9470	262
973	9479	253
974	9490	243
975	9501	233
976	9511	223
977	9520	214
978	9529	204
979	9538	194
980	9547	184
981	9556	175
982	9565	165
983	9574	155
984	9584	145
985	9596	136
986	9605	126
987	9615	116
988	9624	107
989	9633	97
990	9644	87
991	9654	77
992	9663	68
993	9672	58
994	9682	48
995	9691	38
996	9700	29
997	9709	19
998	9718	9
999	9727	0
